"x","y","fips"
1359044.2230116,-1429578.68532178,"01061"
-207245.86964914,-563833.31486131,"08125"
845632.38837934,-241107.28646731,"17177"
1073108.18921944,-1411614.02475284,"28153"
2067672.63158122,-136315.08626974,"34041"
260960.14286734,22522.44621118,"46051"
1955565.10544198,-409243.29444235,"51013"
975554.03472662,-820282.39583817,"21007"
2030936.92740498,-680894.98693235,"37091"
1422247.38053722,-1063040.63974309,"13057"
1390479.97671971,-1070344.75539023,"13015"
895535.91281609,-363455.626263,"17155"
461450.35029431,-392416.59514375,"19001"
1569290.91024077,-405509.71969883,"39121"
1516860.534551,-325993.48656382,"39075"
518725.39951085,85089.61630927,"27059"
1181504.440176,-546722.99908398,"18013"
474676.19776809,-516385.90293687,"29075"
126015.58833864,-457685.75294124,"31079"
136490.79914911,-63612.08216953,"46005"
134443.7905181,-1447191.75191221,"48093"
1687708.99283231,-733569.59679369,"51640"
1696301.02172254,-624749.75232303,"54063"
-122482.3744925,-1016437.33561817,"48233"
430606.34143963,-99327.77645363,"27165"
5096.37593951,8045.87839808,"46107"
987208.10073151,-1059745.5712526,"28009"
1110900.12202897,-811011.33596527,"21047"
-143799.37676683,-341047.09423037,"31075"
2234360.12351845,38557.39996101,"09013"
1339240.93608968,-1026856.80097995,"13295"
-157390.60748486,-776132.82371653,"20075"
1116559.76869296,84804.11366088,"26089"
1073702.20762747,-1054247.55095468,"28141"
202396.59375298,-1205575.85477226,"40067"
71307.31565404,-1218052.97987859,"48487"
1225418.46095616,-814696.72919695,"21003"
769863.92742055,-1228833.68420367,"05043"
676680.7513244,-1194657.23940644,"05039"
1142173.87645847,-343547.6371175,"18049"
205319.69353963,-731481.74121867,"20113"
1409652.13931525,-659551.05762429,"21197"
1292036.19336012,-736814.14298883,"21217"
1210686.42219857,-37975.91699998,"26073"
986589.32243791,-1203356.63617812,"28155"
204970.32948268,-421255.87909328,"31143"
1314687.15858903,-630075.41392183,"21073"
164799.32683483,-495564.64782508,"31035"
1837615.50909375,-202299.76390165,"42027"
969882.01789635,-983958.27079091,"47075"
1403052.52848719,-966639.45492545,"47139"
1822126.04476826,-593718.25079513,"51009"
799721.33748084,88439.39622432,"55069"
-173517.80505598,-1112375.89178521,"48381"
484869.93247802,-457193.50125771,"19159"
348235.18731285,11200.54919514,"27023"
-38300.32871715,-799078.70919714,"20069"
450935.72596056,-992955.85690276,"40021"
1207539.31360158,-539638.84140869,"18005"
2265997.01418192,42832.09864879,"09015"
1914740.63689739,-1703488.22107419,"12061"
697224.26002089,-157416.3234298,"19005"
821733.44936635,-1358763.98130386,"22065"
1136917.20291272,63081.47413325,"26055"
669710.39479603,-897757.88001195,"29153"
1989908.46555615,-260217.55648709,"42071"
-121769.44350237,-967958.11378013,"48195"
1958811.90933177,-414448.00105033,"51510"
-539900.31229029,-1819.65135901,"56033"
-673379.93610791,-772878.88491381,"08111"
1469853.79742359,-1090264.21770579,"13135"
1160154.84633235,-404939.7660988,"18067"
482980.40634568,-424713.20203663,"19175"
1359467.52756999,-307818.23747375,"39063"
1203532.61041209,169.32227922,"26035"
666806.56800282,-828906.86043007,"29229"
1378928.32878812,-719395.51541977,"21203"
537684.68555255,-674667.64012499,"29101"
-144551.53291677,-1455569.86359778,"48173"
-74471.26998481,-1113984.52242184,"48129"
417727.01453275,-1304183.69768332,"48223"
1669116.26296121,-468999.68053994,"54041"
1938807.13894482,-480113.76802151,"51630"
-1433289.12367812,339578.71543303,"53021"
-226081.437384,-849931.97710717,"08009"
1010479.8128161,-975555.07678139,"47113"
310890.37433936,72871.16125995,"27149"
-36525.67233514,216452.3335916,"38015"
1684936.90764855,-1338726.34763128,"13229"
1206272.44207036,-323109.72551839,"18183"
1296785.08552591,-552715.81245979,"18115"
1463822.04748734,-1551280.02994383,"12037"
886852.15786014,198910.47447723,"26071"
499560.52552083,-816272.71602669,"29011"
-40538.16645881,-536131.7777063,"31145"
466718.02788594,-948562.09969692,"40041"
970072.44133398,-897761.80746806,"47131"
965815.10600768,-27671.94335623,"55071"
1318398.97578966,-1194181.40325403,"01027"
1747077.0297226,-1788231.09224486,"12115"
1031200.34345819,-624184.58148299,"17159"
537346.81572058,-386249.72937231,"19181"
1207603.29910721,79970.59973095,"26039"
1009018.0347607,-1130902.1988366,"28115"
511144.6320996,-232448.33011281,"19197"
-139720.9974495,-421056.02332766,"31101"
1855424.61421886,27569.23105625,"36099"
1043966.46761363,-1053579.3466578,"28003"
392364.0204991,-1370835.01137322,"48467"
2043173.97720402,-608238.91269847,"51093"
-524239.43672197,-85869.76417997,"56019"
1588093.73748383,-595145.39640192,"54005"
582159.03773882,-156994.69117949,"19131"
928355.0488781,-1092208.13656138,"28137"
132142.62209848,274585.39610224,"38039"
203267.70472347,-494540.36595256,"31059"
-308855.40280137,-376956.60617222,"31007"
1138526.03479472,-648288.8164374,"18037"
633269.95693058,-1283550.23721592,"05027"
-210093.69388731,-779764.39673941,"08099"
1254528.04089261,-576608.6626337,"18077"
703049.32083376,-204267.70173114,"19043"
1996484.04044037,-312775.87010381,"24025"
91573.55315157,-1176765.75593941,"40141"
18031.39309955,-969601.76985076,"40045"
1859146.36275482,-678937.55415111,"51083"
1532248.25845435,-1305898.96507716,"13081"
674087.34110572,-1125897.63977507,"05125"
-474118.17572098,-752264.89837987,"08027"
1403782.89350596,-1128666.97024995,"13097"
820343.05296717,-404289.22521852,"17095"
111201.6060758,-816087.40620928,"20151"
694495.07754969,-1558768.85691847,"22003"
1206680.0162362,-117713.56350706,"26067"
88532.45437517,-499420.83702597,"31099"
711633.01783814,-1458613.92237848,"22043"
1667294.35146031,-250010.38223276,"42019"
723957.35461685,-567812.29788648,"29173"
-121432.94986027,-1311111.32338213,"48169"
1458341.88744605,-804403.21624836,"47025"
687749.37601136,-52550.06769143,"55121"
1124034.51608153,-861761.83350832,"47125"
-475128.41136904,-709075.48759059,"08043"
173978.98975019,-781238.25255517,"20155"
1272710.71040143,-782168.19679564,"21169"
676814.18697373,-544837.1072115,"29205"
1499938.26614367,-477153.10674196,"39163"
2017791.42448283,-180358.39904792,"42077"
1103288.41173102,20569.26788349,"26101"
1429524.33695895,-1306462.94461338,"13259"
1079992.92575307,-662537.50272009,"18051"
469175.86203993,-183931.51987556,"19109"
437871.51314018,-132738.40127205,"27091"
324247.54013632,-475614.32077516,"31131"
538820.03608363,-1365575.44974094,"48203"
2010728.63694655,-485559.56445401,"51193"
